----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             156
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
              Tanh-4            [-1, 6, 14, 14]               0
            Conv2d-5           [-1, 16, 10, 10]           2,416
              Tanh-6           [-1, 16, 10, 10]               0
         AvgPool2d-7             [-1, 16, 5, 5]               0
              Tanh-8             [-1, 16, 5, 5]               0
            Conv2d-9            [-1, 120, 1, 1]          48,120
             Tanh-10            [-1, 120, 1, 1]               0
           Linear-11                   [-1, 84]          10,164
             Tanh-12                   [-1, 84]               0
           Linear-13                   [-1, 10]             850
================================================================
Total params: 61,706
Trainable params: 61,706
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.12
Params size (MB): 0.24
Estimated Total Size (MB): 0.36
----------------------------------------------------------------
Epoch: 0, Validation Top 1 acc: 10.718550682067871
Epoch: 0, Validation Top 5 acc: 55.11544418334961
Epoch: 0, Validation Set Loss: 2.2943458557128906
Start training epoch 1
Time, 2019-01-07T01:29:48, Epoch: 1, Batch: 10, Training Loss: 2.1330564260482787, LR: 0.001
Time, 2019-01-07T01:29:49, Epoch: 1, Batch: 20, Training Loss: 1.5609509825706482, LR: 0.001
Time, 2019-01-07T01:29:50, Epoch: 1, Batch: 30, Training Loss: 1.083481878042221, LR: 0.001
Time, 2019-01-07T01:29:51, Epoch: 1, Batch: 40, Training Loss: 0.8853368401527405, LR: 0.001
Time, 2019-01-07T01:29:53, Epoch: 1, Batch: 50, Training Loss: 0.6854679465293885, LR: 0.001
Time, 2019-01-07T01:29:54, Epoch: 1, Batch: 60, Training Loss: 0.6054766416549683, LR: 0.001
Time, 2019-01-07T01:29:55, Epoch: 1, Batch: 70, Training Loss: 0.5268504947423935, LR: 0.001
Time, 2019-01-07T01:29:56, Epoch: 1, Batch: 80, Training Loss: 0.48691863715648653, LR: 0.001
Time, 2019-01-07T01:29:58, Epoch: 1, Batch: 90, Training Loss: 0.4294642835855484, LR: 0.001
Time, 2019-01-07T01:29:59, Epoch: 1, Batch: 100, Training Loss: 0.40676910281181333, LR: 0.001
Time, 2019-01-07T01:30:00, Epoch: 1, Batch: 110, Training Loss: 0.3688649073243141, LR: 0.001
Time, 2019-01-07T01:30:02, Epoch: 1, Batch: 120, Training Loss: 0.30944238901138305, LR: 0.001
Time, 2019-01-07T01:30:03, Epoch: 1, Batch: 130, Training Loss: 0.30089755952358244, LR: 0.001
Time, 2019-01-07T01:30:04, Epoch: 1, Batch: 140, Training Loss: 0.2665337473154068, LR: 0.001
Time, 2019-01-07T01:30:05, Epoch: 1, Batch: 150, Training Loss: 0.3012449875473976, LR: 0.001
Time, 2019-01-07T01:30:07, Epoch: 1, Batch: 160, Training Loss: 0.2683669999241829, LR: 0.001
Time, 2019-01-07T01:30:08, Epoch: 1, Batch: 170, Training Loss: 0.2636556699872017, LR: 0.001
Time, 2019-01-07T01:30:09, Epoch: 1, Batch: 180, Training Loss: 0.2873569384217262, LR: 0.001
Time, 2019-01-07T01:30:10, Epoch: 1, Batch: 190, Training Loss: 0.19578439220786095, LR: 0.001
Time, 2019-01-07T01:30:11, Epoch: 1, Batch: 200, Training Loss: 0.23121825829148293, LR: 0.001
Time, 2019-01-07T01:30:13, Epoch: 1, Batch: 210, Training Loss: 0.1809037908911705, LR: 0.001
Time, 2019-01-07T01:30:14, Epoch: 1, Batch: 220, Training Loss: 0.2161002963781357, LR: 0.001
